scenario,index,tokenId,proofGenMs,gasUsed,latencyMs,outcome
valid,1,45,333,372993,2410,success
valid,2,46,343,373030,1744,success
valid,3,47,343,373017,2463,success
valid,4,48,331,373017,2836,success
valid,5,49,354,373005,1345,success
valid,6,45,331,372981,2415,success
valid,7,46,351,373030,1762,success
valid,8,47,329,373005,2018,success
valid,9,48,350,372981,1957,success
valid,10,49,369,373030,1735,success
valid,11,45,365,373030,2378,success
valid,12,46,342,373017,1407,success
valid,13,47,355,373030,2514,success
valid,14,48,339,372993,1328,success
valid,15,49,322,373005,2385,success
valid,16,45,323,372993,1838,success
valid,17,46,337,373005,1815,success
valid,18,47,348,373017,2591,success
valid,19,48,321,373017,1311,success
valid,20,49,329,373017,2363,success
valid,21,45,364,373005,1676,success
valid,22,46,325,373030,2546,success
valid,23,47,331,373030,1375,success
valid,24,48,318,373030,2363,success
valid,25,49,335,373030,1299,success
valid,26,45,322,373017,2359,success
valid,27,46,325,373017,2360,success
valid,28,47,328,373005,1295,success
valid,29,48,325,372993,2355,success
valid,30,49,320,373030,1736,success
valid,31,45,339,373005,2376,success
valid,32,46,320,373017,1668,success
valid,33,47,312,373030,2346,success
valid,34,48,322,373005,1461,success
valid,35,49,340,373030,2484,success
valid,36,45,335,372993,1391,success
valid,37,46,336,373005,2364,success
valid,38,47,320,373030,1688,success
valid,39,48,319,373030,2362,success
valid,40,49,331,373005,1663,success
valid,41,45,324,372993,2386,success
valid,42,46,319,373030,1666,success
valid,43,47,333,373005,2337,success
valid,44,48,333,373017,1297,success
valid,45,49,329,372993,2361,success
valid,46,45,333,372993,2349,success
valid,47,46,324,373017,1294,success
valid,48,47,324,372993,2354,success
valid,49,48,343,372993,1711,success
valid,50,49,335,373017,1996,success
valid,51,45,343,373030,2491,success
valid,52,46,340,373030,1382,success
valid,53,47,336,373017,2358,success
valid,54,48,317,373005,1391,success
valid,55,49,327,372993,2437,success
valid,56,45,322,373017,1692,success
valid,57,46,322,372993,2390,success
valid,58,47,330,373030,1356,success
valid,59,48,321,373030,2381,success
valid,60,49,328,373030,1826,success
valid,61,45,328,373017,2441,success
valid,62,46,335,373017,1356,success
valid,63,47,350,373030,2354,success
valid,64,48,316,373030,1765,success
valid,65,49,337,373030,2378,success
valid,66,45,354,373030,1325,success
valid,67,46,335,373017,2448,success
valid,68,47,317,372993,1816,success
valid,69,48,321,373030,2480,success
valid,70,49,320,373017,1306,success
valid,71,45,339,372993,2380,success
valid,72,46,312,373005,1419,success
valid,73,47,325,373030,2420,success
valid,74,48,362,373017,1760,success
valid,75,49,418,373017,1758,success
valid,76,45,394,373030,2398,success
valid,77,46,384,373017,1301,success
valid,78,47,381,373017,2440,success
valid,79,48,428,373017,1316,success
valid,80,49,417,373005,2439,success
valid,81,45,410,373017,1340,success
valid,82,46,509,373005,2378,success
valid,83,47,409,373030,1430,success
valid,84,48,441,373030,2450,success
valid,85,49,451,373030,2642,success
valid,86,45,416,373005,1343,success
valid,87,46,464,373005,2665,success
valid,88,47,460,373017,2556,success
valid,89,48,399,373005,2798,success
valid,90,49,413,373017,1838,success
valid,91,45,450,373030,1864,success
valid,92,46,474,373030,1487,success
valid,93,47,414,373017,2500,success
valid,94,48,405,372993,1453,success
valid,95,49,423,372993,1914,success
valid,96,45,491,373017,1807,success
valid,97,46,430,372993,1795,success
valid,98,47,466,373030,1629,success
valid,99,48,382,373017,2423,success
valid,100,49,446,373017,1355,success
